Calendar_Year,Calendar_Month,Mode,Average_Monthly_Ridership
2019,1,Bus,459160.0
2019,1,rail_boardings,209782.5
2019,2,Bus,464674.0
2019,2,rail_boardings,218509.5
2019,3,Bus,478487.0
2019,3,rail_boardings,213502.5
2019,4,Bus,473732.0
2019,4,rail_boardings,214768.0
2019,5,Bus,480074.0
2019,5,rail_boardings,211481.5
2019,6,Bus,396720.0
2019,6,rail_boardings,193779.0
2019,7,Bus,401911.0
2019,7,rail_boardings,189318.0
2019,8,Bus,406865.0
2019,8,rail_boardings,191293.0
2019,9,Bus,501557.0
2019,9,rail_boardings,230194.0
2019,10,Bus,502857.0
2019,10,rail_boardings,230088.0
2019,11,Bus,490316.0
2019,11,rail_boardings,226611.5
2019,12,Bus,437027.0
2019,12,rail_boardings,220520.0
2020,1,Bus,493261.0
2020,1,rail_boardings,220697.5
2020,2,Bus,503967.0
2020,2,rail_boardings,217405.5
2020,3,Bus,414021.0
2020,3,rail_boardings,126365.5
2020,4,Bus,141411.0
2020,4,rail_boardings,24760.5
2020,5,Bus,165838.0
2020,5,rail_boardings,27464.5
2020,6,Bus,192334.0
2020,6,rail_boardings,37366.0
2020,7,Bus,203766.0
2020,7,rail_boardings,51825.5
2020,8,Bus,189252.0
2020,8,rail_boardings,53038.0
2020,9,Bus,205693.0
2020,9,rail_boardings,59833.5
2020,10,Bus,207445.0
2020,10,rail_boardings,60088.5
2020,11,Bus,193063.0
2020,11,rail_boardings,56263.0
2020,12,Bus,200729.0
2020,12,rail_boardings,57785.5
2021,1,Bus,184766.0
2021,1,rail_boardings,56413.0
2021,2,Bus,184944.0
2021,2,rail_boardings,50171.0
2021,3,Bus,208266.0
2021,3,rail_boardings,57788.0
2021,4,Bus,209824.0
2021,4,rail_boardings,63077.5
2021,5,Bus,216243.0
2021,5,rail_boardings,67563.5
2021,6,Bus,222345.0
2021,6,rail_boardings,70549.5
2021,7,Bus,232352.0
2021,7,rail_boardings,74098.0
2021,8,Bus,238176.0
2021,8,rail_boardings,74724.5
2021,9,Bus,291653.0
2021,9,rail_boardings,96860.0
2021,10,Bus,302979.0
2021,10,rail_boardings,105590.5
2021,11,Bus,293035.0
2021,11,rail_boardings,101509.0
2021,12,Bus,272915.0
2021,12,rail_boardings,94542.0
2022,1,Bus,243951.0
2022,1,rail_boardings,73894.5
2022,2,Bus,292800.0
2022,2,rail_boardings,95750.0
2022,3,Bus,303607.0
2022,3,rail_boardings,100451.5
2022,4,Bus,297311.0
2022,4,rail_boardings,98920.5
2022,5,Bus,313650.0
2022,5,rail_boardings,96394.0
2022,6,Bus,262689.0
2022,6,rail_boardings,93135.5
2022,7,Bus,272936.0
2022,7,rail_boardings,85882.5
2022,8,Bus,272216.0
2022,8,rail_boardings,90869.5
2022,9,Bus,341880.0
2022,9,rail_boardings,104750.0
2022,10,Bus,340544.0
2022,10,rail_boardings,110167.5
2022,11,Bus,338481.0
2022,11,rail_boardings,105044.0
2022,12,Bus,299614.0
2022,12,rail_boardings,98382.5
2023,1,Bus,319605.0
2023,1,rail_boardings,102610.0
2023,2,Bus,342049.0
2023,2,rail_boardings,104814.5
2023,3,Bus,341407.0
2023,3,rail_boardings,102106.5
2023,4,Bus,336495.0
2023,4,rail_boardings,102593.5
2023,5,Bus,359462.0
2023,5,rail_boardings,104917.5
2023,6,Bus,302745.0
2023,6,rail_boardings,100248.0
2023,7,Bus,297469.0
2023,7,rail_boardings,95552.0
2023,8,Bus,307127.0
2023,8,rail_boardings,100600.5
2023,9,Bus,367249.0
2023,9,rail_boardings,126279.5
2023,10,Bus,378441.0
2023,10,rail_boardings,133199.5
2023,11,Bus,368386.0
2023,11,rail_boardings,129658.0
2023,12,Bus,347255.0
2023,12,rail_boardings,121919.0
2024,1,Bus,343510.0
2024,1,rail_boardings,119408.5
2024,2,Bus,374784.0
2024,2,rail_boardings,128585.5
2024,3,Bus,344983.0
2024,3,rail_boardings,125290.0
2024,4,Bus,362983.0
2024,4,rail_boardings,137328.0
2024,5,Bus,381468.0
2024,5,rail_boardings,134974.5
2024,6,Bus,341764.0
2024,6,rail_boardings,130926.0
2024,7,Bus,322859.0
2024,7,rail_boardings,130950.0
2024,8,Bus,334527.0
2024,8,rail_boardings,139622.5
2024,9,Bus,401877.0
2024,9,rail_boardings,157310.5
2024,10,Bus,405318.0
2024,10,rail_boardings,158841.5
2024,11,Bus,382848.0
2024,11,rail_boardings,154347.5
2024,12,Bus,350305.0
2024,12,rail_boardings,142550.0
2025,1,Bus,354820.0
2025,1,rail_boardings,141302.0
2025,2,Bus,375744.0
2025,2,rail_boardings,152750.0
2025,3,Bus,382227.0
2025,3,rail_boardings,144600.0
2025,4,Bus,377072.0
2025,4,rail_boardings,149600.0
2025,5,Bus,387744.0
2025,5,rail_boardings,152500.0
2025,6,Bus,345285.0
2025,6,rail_boardings,147758.0
2025,7,Bus,334079.0
2025,7,rail_boardings,140213.0
2025,8,Bus,331653.0
2025,8,rail_boardings,136556.0
2025,9,Bus,377001.0
2025,9,rail_boardings,156975.5
2025,10,Bus,392615.0
2025,10,rail_boardings,154802.0
